HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"29 Phan Boi Chau,  Vietnam",24,90,,,Thanh Hoai 2,,Vietnam,"Vietnam,,","Which popular attractions are close to Thanh Hoai 2?, ,What are some restaurants close to Thanh Hoai 2?, ,Is Thanh Hoai 2 located near the city center?, ",,5,#270 of 799 B&Bs / Inns in ,25,,139,Average,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d2259304-Reviews-Thanh_Hoai_2-Da_Lat_Lam_Dong_Province.html
"72/2 Nguyen Van Troi,  Vietnam",21,89,,,Mai Ngoc Hotel,$25 ,$13 ,"$13, - ,$25","Which popular attractions are close to Mai Ngoc Hotel?, ,What are some restaurants close to Mai Ngoc Hotel?, ,Is Mai Ngoc Hotel located near the city center?, ",,1,#122 of 819 hotels in ,40,,114,Very good,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17573771-Reviews-Mai_Ngoc_Hotel-Da_Lat_Lam_Dong_Province.html
"Alley 222, Mai Anh Dao Near Mong Mo Hill Gate,  Vietnam",91,40,10,, Aroma Homestay,$36 ,$13 ,"$13, - ,$36","Which popular attractions are close to  Aroma Homestay?, ,What are some restaurants close to  Aroma Homestay?, ",3,1,"#325 of 1,320 Specialty lodging in ",40,,511,Very good,,,3,https://www.tripadvisor.com/Hotel_Review-g293922-d17638763-Reviews-Da_Lat_Aroma_Homestay-Da_Lat_Lam_Dong_Province.html
"24 Luong The Vinh, Ward 3,  670000 Vietnam",15,66,,,Casanova Dalat Hotel & Coffee,$28 ,$13 ,"$13, - ,$28","Which popular attractions are close to Casanova Dalat Hotel & Coffee?, ,What are some of the property amenities at Casanova Dalat Hotel & Coffee?, ,Is parking available at Casanova Dalat Hotel & Coffee?, ,What are some restaurants close to Casanova Dalat Hotel & Coffee?, ,Does Casanova Dalat Hotel & Coffee have airport transportation?, ,Is Casanova Dalat Hotel & Coffee located near the city center?, ",,2,#90 of 819 hotels in ,40,,119,Very good,17,"Mid-range,Business",,https://www.tripadvisor.com/Hotel_Review-g293922-d20300729-Reviews-Casanova_Dalat_Hotel_Coffee-Da_Lat_Lam_Dong_Province.html
"266 Phan Dinh Phung Ward 2,  670000 Vietnam",5,82,10,"English, Chinese, Vietnamese",Khach san Ca phe Lien Hiep,$19 ,$13 ,"$13, - ,$19","Which popular attractions are close to Khach san Ca phe Lien Hiep?, ,What are some of the property amenities at Khach san Ca phe Lien Hiep?, ,Is parking available at Khach san Ca phe Lien Hiep?, ,What are some restaurants close to Khach san Ca phe Lien Hiep?, ,Does Khach san Ca phe Lien Hiep have airport transportation?, ,Is Khach san Ca phe Lien Hiep located near the city center?, ,Are any cleaning services offered at Khach san Ca phe Lien Hiep?, ,Which languages are spoken by the staff at Khach san Ca phe Lien Hiep?, ",1,4,#64 of 799 B&Bs / Inns in ,50,,41,Excellent,11,,3,https://www.tripadvisor.com/Hotel_Review-g293922-d13368168-Reviews-Khach_san_Ca_phe_Lien_Hiep-Da_Lat_Lam_Dong_Province.html
"E42 Kqh to Hien Thanh,  670000 Vietnam",5,53,,,Dalat Che House,$17 ,$13 ,"$13, - ,$17","Which popular attractions are close to Dalat Che House?, ,What are some restaurants close to Dalat Che House?, ",,2,"#183 of 1,320 Specialty lodging in ",45,,42,Excellent,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17789914-Reviews-Dalat_Che_House-Da_Lat_Lam_Dong_Province.html
"48/8 Ha Huy Tap Street, Ward 3,  Vietnam",4,78,,"English, Vietnamese",Dalat Inn Homestay,$26 ,$15 ,"$15, - ,$26","Which popular attractions are close to Dalat Inn Homestay?, ,What are some of the property amenities at Dalat Inn Homestay?, ,Which room amenities are available at Dalat Inn Homestay?, ,What food & drink options are available at Dalat Inn Homestay?, ,Is parking available at Dalat Inn Homestay?, ,What are some restaurants close to Dalat Inn Homestay?, ,Does Dalat Inn Homestay have an airport shuttle?, ,Does Dalat Inn Homestay have airport transportation?, ,Is Dalat Inn Homestay located near the city center?, ,Are any cleaning services offered at Dalat Inn Homestay?, ",,,,,30,25,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d12351609-Reviews-Dalat_Inn_Homestay-Da_Lat_Lam_Dong_Province.html
"56/9 Hai Thuong, Ward 6, Dalat, LamDong, VietNam Ward 6,  670000 Vietnam",22,90,1,"English, Vietnamese",Lavender Tim,$55 ,$16 ,"$16, - ,$55","Which popular attractions are close to Lavender Tim?, ,What are some of the property amenities at Lavender Tim?, ,Is parking available at Lavender Tim?, ,What are some restaurants close to Lavender Tim?, ,Is Lavender Tim located near the city center?, ,Are any cleaning services offered at Lavender Tim?, ,Which languages are spoken by the staff at Lavender Tim?, ",14,6,"#98 of 1,320 Specialty lodging in ",50,,95,Excellent,7,,14,https://www.tripadvisor.com/Hotel_Review-g293922-d13229679-Reviews-Lavender_Tim-Da_Lat_Lam_Dong_Province.html
"So 10 Nguyen Thi Dinh, P 5,  670000 Vietnam",10,89,24,"English, Vietnamese",SuKa Hotel,$50 ,$13 ,"$13, - ,$50","Which popular attractions are close to SuKa Hotel?, ,What are some of the property amenities at SuKa Hotel?, ,What food & drink options are available at SuKa Hotel?, ,Is parking available at SuKa Hotel?, ,What are some restaurants close to SuKa Hotel?, ,Does SuKa Hotel have an airport shuttle?, ,Does SuKa Hotel have airport transportation?, ,Is SuKa Hotel located near the city center?, ,Which languages are spoken by the staff at SuKa Hotel?, ",2,4,#120 of 799 B&Bs / Inns in ,40,30,67,Very good,,,2,https://www.tripadvisor.com/Hotel_Review-g293922-d13344841-Reviews-SuKa_Hotel-Da_Lat_Lam_Dong_Province.html
"21/2 Tran Phu,  670000 Vietnam",6,82,,,7S Hotel DT Central,$70 ,$13 ,"$13, - ,$70","Which popular attractions are close to 7S Hotel DT Central?, ,What are some of the property amenities at 7S Hotel DT Central?, ,What food & drink options are available at 7S Hotel DT Central?, ,Is parking available at 7S Hotel DT Central?, ,What are some restaurants close to 7S Hotel DT Central?, ,Does 7S Hotel DT Central have airport transportation?, ,Is 7S Hotel DT Central located near the city center?, ",,2,"#460 of 1,320 Specialty lodging in ",10,,47,Terrible,34,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17534944-Reviews-7S_Hotel_DT_Central-Da_Lat_Lam_Dong_Province.html
"65 Thu Khoa Huan Street,  670000 Vietnam",19,89,24,,Gaia Hostel,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to Gaia Hostel?, ,What are some of the property amenities at Gaia Hostel?, ,What food & drink options are available at Gaia Hostel?, ,What are some restaurants close to Gaia Hostel?, ,Does Gaia Hostel have airport transportation?, ,Is Gaia Hostel located near the city center?, ",5,13,"#128 of 1,320 Specialty lodging in ",40,10,127,Very good,6,Budget,1,https://www.tripadvisor.com/Hotel_Review-g293922-d12622953-Reviews-Gaia_Hostel-Da_Lat_Lam_Dong_Province.html
"25/10 Le Dai Hanh,  Vietnam",,,6,"English, Vietnamese",Gold Dream Hotel,$23 ,$13 ,"$13, - ,$23","Which popular attractions are close to Gold Dream Hotel?, ,What are some of the property amenities at Gold Dream Hotel?, ,What food & drink options are available at Gold Dream Hotel?, ,Is parking available at Gold Dream Hotel?, ,What are some restaurants close to Gold Dream Hotel?, ,Does Gold Dream Hotel have an airport shuttle?, ,Does Gold Dream Hotel have airport transportation?, ,Which languages are spoken by the staff at Gold Dream Hotel?, ",21,9,"#194 of 1,320 Specialty lodging in ",35,20,,Very good,21,Budget,11,https://www.tripadvisor.com/Hotel_Review-g293922-d8727815-Reviews-Gold_Dream_Hotel-Da_Lat_Lam_Dong_Province.html
"60 Pham Ngu Lao , Ward 3,  Vietnam",29,90,,English,Lan Phuong Hotel,$40 ,$13 ,"$13, - ,$40","Which popular attractions are close to Lan Phuong Hotel?, ,What are some of the property amenities at Lan Phuong Hotel?, ,Which room amenities are available at Lan Phuong Hotel?, ,Is parking available at Lan Phuong Hotel?, ,What are some restaurants close to Lan Phuong Hotel?, ,Does Lan Phuong Hotel have an airport shuttle?, ,Does Lan Phuong Hotel have airport transportation?, ,Is Lan Phuong Hotel located near the city center?, ,Are any cleaning services offered at Lan Phuong Hotel?, ,Are there any historical sites close to Lan Phuong Hotel?, ",,5,#80 of 819 hotels in ,35,,138,Very good,27,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17552564-Reviews-Lan_Phuong_Hotel-Da_Lat_Lam_Dong_Province.html
"A39 Mac Dinh Chi,  Vietnam",2,70,,,Nha Nghi Minh Toan,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to Nha Nghi Minh Toan?, ,What are some restaurants close to Nha Nghi Minh Toan?, ,Is Nha Nghi Minh Toan located near the city center?, ",,,,,,17,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17608277-Reviews-Nha_Nghi_Minh_Toan-Da_Lat_Lam_Dong_Province.html
"38 Tran Phu Street,  Vietnam",4,81,,,V-Dragon,$15 ,$13 ,"$13, - ,$15","Which popular attractions are close to V-Dragon?, ,What are some restaurants close to V-Dragon?, ,Is V-Dragon located near the city center?, ",,3,"#410 of 1,320 Specialty lodging in ",25,,40,Average,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d12449775-Reviews-V_Dragon-Da_Lat_Lam_Dong_Province.html
"27B Le Hong Phong,  66000 Vietnam",4,67,2,"English, Vietnamese",Nha So 27,$15 ,$13 ,"$13, - ,$15","Which popular attractions are close to Nha So 27?, ,What are some of the property amenities at Nha So 27?, ,Which room amenities are available at Nha So 27?, ,What food & drink options are available at Nha So 27?, ,Is parking available at Nha So 27?, ,What are some restaurants close to Nha So 27?, ,Does Nha So 27 have airport transportation?, ,Which languages are spoken by the staff at Nha So 27?, ,Are there any historical sites close to Nha So 27?, ",8,2,"#146 of 1,320 Specialty lodging in ",50,,16,Excellent,17,,2,https://www.tripadvisor.com/Hotel_Review-g293922-d20217537-Reviews-Nha_So_27-Da_Lat_Lam_Dong_Province.html
"71B Thu Khoa Huan Street,  Vietnam",25,89,19,English,More Dalat,$18 ,$15 ,"$15, - ,$18","Which popular attractions are close to More Dalat?, ,What are some of the property amenities at More Dalat?, ,What food & drink options are available at More Dalat?, ,Is parking available at More Dalat?, ,What are some restaurants close to More Dalat?, ,Does More Dalat have an airport shuttle?, ,Does More Dalat have airport transportation?, ,Is More Dalat located near the city center?, ",1,3,"#359 of 1,320 Specialty lodging in ",35,,135,Very good,4,,4,https://www.tripadvisor.com/Hotel_Review-g293922-d12196950-Reviews-More_Dalat-Da_Lat_Lam_Dong_Province.html
"H 26 Nguyen Thi Nghia 27 Nguyen Thi Nghia,  Vietnam",12,89,,,Khach San My Hang,$21 ,$13 ,"$13, - ,$21","Which popular attractions are close to Khach San My Hang?, ,What are some restaurants close to Khach San My Hang?, ,Is Khach San My Hang located near the city center?, ",,1,#250 of 799 B&Bs / Inns in ,30,,100,Average,7,,,https://www.tripadvisor.com/Hotel_Review-g293922-d13813727-Reviews-Khach_San_My_Hang-Da_Lat_Lam_Dong_Province.html
"33 Le Thanh Ton,  Vietnam",35,70,,Vietnamese,Villa Phuong Tram,$17 ,$13 ,"$13, - ,$17","Which popular attractions are close to Villa Phuong Tram?, ,What are some of the property amenities at Villa Phuong Tram?, ,What food & drink options are available at Villa Phuong Tram?, ,Is parking available at Villa Phuong Tram?, ,What are some restaurants close to Villa Phuong Tram?, ,Does Villa Phuong Tram have airport transportation?, ,Is Villa Phuong Tram located near the city center?, ,Are pets allowed at Villa Phuong Tram?, ",,2,#132 of 799 B&Bs / Inns in ,45,,194,Excellent,,Budget,,https://www.tripadvisor.com/Hotel_Review-g293922-d13326723-Reviews-Villa_Phuong_Tram-Da_Lat_Lam_Dong_Province.html
"8 Phan Nhu Thach,  Vietnam",27,89,,,Arapang Hotel 3,$21 ,$13 ,"$13, - ,$21","Which popular attractions are close to Arapang Hotel 3?, ,What are some of the property amenities at Arapang Hotel 3?, ,What are some restaurants close to Arapang Hotel 3?, ,Is Arapang Hotel 3 located near the city center?, ",,4,#313 of 799 B&Bs / Inns in ,25,,139,Average,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d14029823-Reviews-Arapang_Hotel_3-Da_Lat_Lam_Dong_Province.html
"76A Bui Thi Xuan,  Vietnam",5,77,,,Thuy Lan Hotel,$16 ,$13 ,"$13, - ,$16","Which popular attractions are close to Thuy Lan Hotel?, ,What are some restaurants close to Thuy Lan Hotel?, ,Is Thuy Lan Hotel located near the city center?, ,Are there any historical sites close to Thuy Lan Hotel?, ",,3,#263 of 799 B&Bs / Inns in ,25,20,26,Average,27,,,https://www.tripadvisor.com/Hotel_Review-g293922-d7331868-Reviews-Thuy_Lan_Hotel-Da_Lat_Lam_Dong_Province.html
"56 Pham Ngoc Thach,  670000 Vietnam",21,90,,"English, Vietnamese",The Decenber,$33 ,$14 ,"$14, - ,$33","Which popular attractions are close to The Decenber?, ,What are some of the property amenities at The Decenber?, ,Which room amenities are available at The Decenber?, ,What food & drink options are available at The Decenber?, ,Is parking available at The Decenber?, ,What are some restaurants close to The Decenber?, ,Does The Decenber have an airport shuttle?, ,Does The Decenber have airport transportation?, ,Is The Decenber located near the city center?, ,Are any cleaning services offered at The Decenber?, ",,1,#274 of 799 B&Bs / Inns in ,20,,107,Poor,9,,,https://www.tripadvisor.com/Hotel_Review-g293922-d13375945-Reviews-The_Decenber-Da_Lat_Lam_Dong_Province.html
"97 /4 Phan Boi Chau , Phuong 1 , Thanh Pho,  Vietnam",10,86,,,Khach San Hoa Hue,$26 ,$11 ,"$11, - ,$26","Which popular attractions are close to Khach San Hoa Hue?, ,What are some restaurants close to Khach San Hoa Hue?, ,Is Khach San Hoa Hue located near the city center?, ",,,,,,87,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17633335-Reviews-Khach_San_Hoa_Hue-Da_Lat_Lam_Dong_Province.html
"Lot 08-KQH Tran Le Ward 4,  670000 Vietnam",3,80,12,"English, Vietnamese",Hoang Phong Hotel,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to Hoang Phong Hotel?, ,What are some of the property amenities at Hoang Phong Hotel?, ,What food & drink options are available at Hoang Phong Hotel?, ,Is parking available at Hoang Phong Hotel?, ,What are some restaurants close to Hoang Phong Hotel?, ,Does Hoang Phong Hotel have an airport shuttle?, ,Does Hoang Phong Hotel have airport transportation?, ,Is Hoang Phong Hotel located near the city center?, ,Which languages are spoken by the staff at Hoang Phong Hotel?, ",1,,,,,36,,10,,1,https://www.tripadvisor.com/Hotel_Review-g293922-d13285724-Reviews-Hoang_Phong_Hotel-Da_Lat_Lam_Dong_Province.html
"44 Phan Dinh Phung,  Vietnam",28,90,,,Son Ky ,$72 ,$13 ,"$13, - ,$72","Which popular attractions are close to Son Ky ?, ,What are some restaurants close to Son Ky ?, ,Is Son Ky  located near the city center?, ",,,,,,152,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17607421-Reviews-Son_Ky_Da_Lat-Da_Lat_Lam_Dong_Province.html
"50 Dong Da,  Vietnam",4,48,,"English, Vietnamese",Coffee Valley Homestay,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to Coffee Valley Homestay?, ,What are some of the property amenities at Coffee Valley Homestay?, ,What food & drink options are available at Coffee Valley Homestay?, ,Is parking available at Coffee Valley Homestay?, ,What are some restaurants close to Coffee Valley Homestay?, ,Which languages are spoken by the staff at Coffee Valley Homestay?, ",,,,,,42,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d11774384-Reviews-Coffee_Valley_Homestay-Da_Lat_Lam_Dong_Province.html
,,,,,Hostel Hoang Anh,$18 ,$13 ,"$13, - ,$18",,,,,,,,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20379561-Reviews-Hostel_Hoang_Anh-Da_Lat_Lam_Dong_Province.html
"D59 Hoang Van Thu Street Ward 4,  Vietnam",3,81,,,Quynh Huong,$20 ,$13 ,"$13, - ,$20","Which popular attractions are close to Quynh Huong?, ,What are some restaurants close to Quynh Huong?, ,Is Quynh Huong located near the city center?, ",,,,,,37,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d19728896-Reviews-Quynh_Huong-Da_Lat_Lam_Dong_Province.html
"51 Duong Thong Thien Hoc,  Vietnam",5,75,,,The Station,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to The Station?, ,What are some restaurants close to The Station?, ,Is The Station located near the city center?, ",,,,,,23,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d19934827-Reviews-The_Station-Da_Lat_Lam_Dong_Province.html
"44 Duong Bui Thi Xuan,  Vietnam",7,87,,,House Thien Phat,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to House Thien Phat?, ,What are some restaurants close to House Thien Phat?, ,Is House Thien Phat located near the city center?, ",,,,,,79,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d19984684-Reviews-House_Thien_Phat-Da_Lat_Lam_Dong_Province.html
"Duong Mac Dinh Chi 17/1,  Vietnam",27,88,,,Homey,$26 ,$16 ,"$16, - ,$26","Which popular attractions are close to Homey?, ,What are some restaurants close to Homey?, ,Is Homey located near the city center?, ",,,,,,139,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d18456463-Reviews-Homey-Da_Lat_Lam_Dong_Province.html
"82 Nguyen Chi Thanh,  Vietnam",16,91,,,Diep Hostel,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to Diep Hostel?, ,What are some restaurants close to Diep Hostel?, ,Is Diep Hostel located near the city center?, ",,3,"#366 of 1,320 Specialty lodging in ",35,,105,Very good,,Budget,,https://www.tripadvisor.com/Hotel_Review-g293922-d13866943-Reviews-Diep_Hostel-Da_Lat_Lam_Dong_Province.html
"1a Hoang Van Thu,  Vietnam",7,58,,,Trung Duc Hotel,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to Trung Duc Hotel?, ,What are some restaurants close to Trung Duc Hotel?, ",,,,,,49,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d18178397-Reviews-Trung_Duc_Hotel-Da_Lat_Lam_Dong_Province.html
,,,,,Chu Nguyen Hotel,$19 ,$13 ,"$13, - ,$19",,,,,,,,,10,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20396182-Reviews-Chu_Nguyen_Hotel-Da_Lat_Lam_Dong_Province.html
"9D Dong Tam Phuong 4,  0263 Vietnam",3,81,,,Khach San Duy Khang,$18 ,$13 ,"$13, - ,$18","Which popular attractions are close to Khach San Duy Khang?, ,What are some restaurants close to Khach San Duy Khang?, ,Is Khach San Duy Khang located near the city center?, ",,,,,,39,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17789579-Reviews-Khach_San_Duy_Khang-Da_Lat_Lam_Dong_Province.html
"Hem 11 Khe Sanh Phuong 10,  Vietnam",12,69,,,Khe Sanh Hotel & Homestay,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to Khe Sanh Hotel & Homestay?, ,What are some restaurants close to Khe Sanh Hotel & Homestay?, ",,,,,,54,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d15036019-Reviews-Khe_Sanh_Hotel_Homestay-Da_Lat_Lam_Dong_Province.html
"80A Nguyen Chi Thanh Ward 1,  670000 Vietnam",17,91,,,Chau Giang Hotel,$26 ,$11 ,"$11, - ,$26","Which popular attractions are close to Chau Giang Hotel?, ,What are some restaurants close to Chau Giang Hotel?, ,Is Chau Giang Hotel located near the city center?, ",,,,,,102,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20302851-Reviews-Chau_Giang_Hotel-Da_Lat_Lam_Dong_Province.html
"Hem 217 Bui Thi Xuan Phuong 8,  Vietnam",5,84,,,Duy Thinh,$13 ,$13 ,"$13, - ,$13","Which popular attractions are close to Duy Thinh?, ,What are some restaurants close to Duy Thinh?, ,Is Duy Thinh located near the city center?, ",,,,,,65,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d15580504-Reviews-Duy_Thinh-Da_Lat_Lam_Dong_Province.html
"43A Dao Duy Tu,  Vietnam",19,67,,,A.L.L Homestay and Coffee,$26 ,$13 ,"$13, - ,$26","Which popular attractions are close to A.L.L Homestay and Coffee?, ,What are some restaurants close to A.L.L Homestay and Coffee?, ,Is A.L.L Homestay and Coffee located near the city center?, ",,,,,,114,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17669766-Reviews-A_L_L_Homestay_and_Coffee-Da_Lat_Lam_Dong_Province.html
"6A Phan Dinh Giot, Phuong 6,  Vietnam",5,52,,,Pham Nguyen,$17 ,$13 ,"$13, - ,$17","Which popular attractions are close to Pham Nguyen?, ,What are some restaurants close to Pham Nguyen?, ",,,,,,37,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17606039-Reviews-Pham_Nguyen-Da_Lat_Lam_Dong_Province.html
"118 Hai Ba Trung,  66000 Vietnam",3,70,,Vietnamese,7S An Phu Hotel,$23 ,$13 ,"$13, - ,$23","Which popular attractions are close to 7S An Phu Hotel?, ,What are some restaurants close to 7S An Phu Hotel?, ,Is 7S An Phu Hotel located near the city center?, ",,,,,,23,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d12709737-Reviews-7S_An_Phu_Hotel-Da_Lat_Lam_Dong_Province.html
"Alley 56 Thong Thien Hoc,  670000 Vietnam",2,72,,,Starlight Homestay,$15 ,$15 ,"$15, - ,$15","Which popular attractions are close to Starlight Homestay?, ,Is parking available at Starlight Homestay?, ,What are some restaurants close to Starlight Homestay?, ,Is Starlight Homestay located near the city center?, ",,,,,,17,,10,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17838562-Reviews-Starlight_Homestay-Da_Lat_Lam_Dong_Province.html
"60 Ngo Thi SY Phuong 4,  66000 Vietnam",8,59,,,Century Hotel,$24 ,$13 ,"$13, - ,$24","Which popular attractions are close to Century Hotel?, ,What are some restaurants close to Century Hotel?, ",,,,,30,47,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d15896086-Reviews-Century_Hotel-Da_Lat_Lam_Dong_Province.html
"Thanh Tam Street Ward 4,  670000 Vietnam",2,68,,,Yen Homestay ,$24 ,$13 ,"$13, - ,$24","Which popular attractions are close to Yen Homestay ?, ,What are some restaurants close to Yen Homestay ?, ",,,,,,14,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d19957927-Reviews-Yen_Homestay_Da_Lat-Da_Lat_Lam_Dong_Province.html
"15A Nguyen Chi Thanh Street,  Vietnam",15,91,,,Hung Vinh GuestHouse,$22 ,$13 ,"$13, - ,$22","Which popular attractions are close to Hung Vinh GuestHouse?, ,What are some restaurants close to Hung Vinh GuestHouse?, ,Is Hung Vinh GuestHouse located near the city center?, ",,,,,,108,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d19265591-Reviews-Hung_Vinh_GuestHouse-Da_Lat_Lam_Dong_Province.html
"Mai Anh Dao 24 Ap Da Thien,  Vietnam",91,40,,Vietnamese,Villa Hotel Hoa Phuong,$37 ,$13 ,"$13, - ,$37","Which popular attractions are close to Villa Hotel Hoa Phuong?, ,What are some of the property amenities at Villa Hotel Hoa Phuong?, ,What food & drink options are available at Villa Hotel Hoa Phuong?, ,Is parking available at Villa Hotel Hoa Phuong?, ,What are some restaurants close to Villa Hotel Hoa Phuong?, ,Does Villa Hotel Hoa Phuong have airport transportation?, ,Are pets allowed at Villa Hotel Hoa Phuong?, ",,,,,,511,,11,,,https://www.tripadvisor.com/Hotel_Review-g293922-d12978365-Reviews-Villa_Hotel_Hoa_Phuong-Da_Lat_Lam_Dong_Province.html
"12 Duong Ngo Van So,  Vietnam",,,,,Phuc Gia Khang Hostel,$26 ,$13 ,"$13, - ,$26","Which popular attractions are close to Phuc Gia Khang Hostel?, ,What are some restaurants close to Phuc Gia Khang Hostel?, ",,,,,,,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d19803116-Reviews-Phuc_Gia_Khang_Hostel-Da_Lat_Lam_Dong_Province.html
"90/14 Hem Ly Nam De,  Vietnam",5,56,,,Nha Cua Nguoi Va Ta,$33 ,$13 ,"$13, - ,$33","Which popular attractions are close to Nha Cua Nguoi Va Ta?, ,What are some restaurants close to Nha Cua Nguoi Va Ta?, ",,,,,,53,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20862459-Reviews-Nha_Cua_Nguoi_Va_Ta-Da_Lat_Lam_Dong_Province.html
"A24 Mac Dinh Chi, Ward 4,  66000 Vietnam",5,79,,,SPOT ON 847 Familiar House,$24 ,$13 ,"$13, - ,$24","Which popular attractions are close to SPOT ON 847 Familiar House?, ,What are some restaurants close to SPOT ON 847 Familiar House?, ,Is SPOT ON 847 Familiar House located near the city center?, ",,,,,,41,,7,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20072997-Reviews-SPOT_ON_847_Familiar_House-Da_Lat_Lam_Dong_Province.html
"137 Nguyen Cong Tru 4,  Vietnam",12,89,,,Thien Hoa Luxury Hotel,$15 ,$13 ,"$13, - ,$15","Which popular attractions are close to Thien Hoa Luxury Hotel?, ,What are some restaurants close to Thien Hoa Luxury Hotel?, ,Is Thien Hoa Luxury Hotel located near the city center?, ",,,,,,100,,20,,,https://www.tripadvisor.com/Hotel_Review-g293922-d13826051-Reviews-Thien_Hoa_Luxury_Hotel-Da_Lat_Lam_Dong_Province.html
"Ngo Van So 17,  Vietnam",1,39,,,Thi Tran Nho Homestay,$14 ,$13 ,"$13, - ,$14","Which popular attractions are close to Thi Tran Nho Homestay?, ,What are some restaurants close to Thi Tran Nho Homestay?, ",,,,,,14,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d18185304-Reviews-Thi_Tran_Nho_Homestay-Da_Lat_Lam_Dong_Province.html
"74 Duong Hoang Van Thu 74,  Vietnam",11,54,,,Hoa Chuong,$26 ,$13 ,"$13, - ,$26","Which popular attractions are close to Hoa Chuong?, ,What are some restaurants close to Hoa Chuong?, ",,,,,,70,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d20098237-Reviews-Hoa_Chuong-Da_Lat_Lam_Dong_Province.html
"33 Nguyen Chi Thanh,  Vietnam",15,91,,,Khanh Hong ,$23 ,$13 ,"$13, - ,$23","Which popular attractions are close to Khanh Hong ?, ,What are some restaurants close to Khanh Hong ?, ,Is Khanh Hong  located near the city center?, ",,,,,,108,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17620384-Reviews-Khanh_Hong_Da_Lat-Da_Lat_Lam_Dong_Province.html
"88 Nguyen Chi Thanh,  670000 Vietnam",,,,,My Ty Hotel,$34 ,$13 ,"$13, - ,$34","Which popular attractions are close to My Ty Hotel?, ,What are some of the property amenities at My Ty Hotel?, ,Is parking available at My Ty Hotel?, ,What are some restaurants close to My Ty Hotel?, ,Are there any historical sites close to My Ty Hotel?, ",,,,,,,,20,,,https://www.tripadvisor.com/Hotel_Review-g293922-d17784039-Reviews-My_Ty_Hotel-Da_Lat_Lam_Dong_Province.html
"Le Quy Don,  Vietnam",13,90,,"English, Vietnamese",HaNa Hotel,$27 ,$13 ,"$13, - ,$27","Which popular attractions are close to HaNa Hotel?, ,What are some of the property amenities at HaNa Hotel?, ,What food & drink options are available at HaNa Hotel?, ,Is parking available at HaNa Hotel?, ,What are some restaurants close to HaNa Hotel?, ,Does HaNa Hotel have an airport shuttle?, ,Is HaNa Hotel located near the city center?, ,Which languages are spoken by the staff at HaNa Hotel?, ",,,,,,83,,,,,https://www.tripadvisor.com/Hotel_Review-g293922-d13310132-Reviews-HaNa_Hotel-Da_Lat_Lam_Dong_Province.html
